transaction_id,store_id,product_id,transaction_date,quantity_sold,unit_price,discount_pct,gross_sales,discount_amt,net_sales,year,month,month_name,day_of_week,quarter
1,3,138,2024-12-23,11,98.66,0.05,1085.26,0.5426300000000001,1084.71737,2024,12,December,Monday,4
2,2,117,2024-07-05,10,144.39,0.15,1443.8999999999999,2.16585,1441.7341499999998,2024,7,July,Friday,3
3,1,14,2024-06-26,6,13.97,0.15,83.82000000000001,0.12573,83.69427,2024,6,June,Wednesday,2
4,3,156,2024-11-14,3,173.78,0.05,521.34,0.26067,521.07933,2024,11,November,Thursday,4
5,8,43,2024-09-16,7,88.26,0.1,617.82,0.6178200000000001,617.20218,2024,9,September,Monday,3
6,6,130,2024-02-02,1,200.9,0.1,200.9,0.20090000000000002,200.69910000000002,2024,2,February,Friday,1
7,8,139,2024-01-02,4,81.1,0.0,324.4,0.0,324.4,2024,1,January,Tuesday,1
8,5,111,2024-08-20,2,43.1,0.0,86.2,0.0,86.2,2024,8,August,Tuesday,3
9,10,141,2024-12-22,7,45.08,0.05,315.56,0.15778,315.40222,2024,12,December,Sunday,4
10,2,68,2024-03-31,8,17.26,0.25,138.08,0.3452,137.7348,2024,3,March,Sunday,1
11,9,58,2024-02-03,6,216.14,0.25,1296.84,3.2420999999999998,1293.5979,2024,2,February,Saturday,1
12,1,22,2024-05-07,1,28.7,0.1,28.7,0.0287,28.6713,2024,5,May,Tuesday,2
13,4,39,2024-09-13,8,112.9,0.0,903.2,0.0,903.2,2024,9,September,Friday,3
14,9,15,2024-11-01,10,149.2,0.1,1492.0,1.4920000000000002,1490.508,2024,11,November,Friday,4
15,8,31,2024-10-25,2,110.33,0.0,220.66,0.0,220.66,2024,10,October,Friday,4
16,2,134,2024-04-22,7,141.92,0.1,993.4399999999999,0.99344,992.44656,2024,4,April,Monday,2
17,8,158,2024-09-29,5,81.38,0.0,406.9,0.0,406.9,2024,9,September,Sunday,3
18,1,34,2024-10-01,7,99.91,0.25,699.37,1.7484250000000001,697.621575,2024,10,October,Tuesday,4
19,4,88,2024-08-26,10,106.78,0.25,1067.8,2.6694999999999998,1065.1305,2024,8,August,Monday,3
20,8,32,2024-01-26,7,195.25,0.1,1366.75,1.3667500000000001,1365.38325,2024,1,January,Friday,1
21,1,19,2024-10-28,8,61.27,0.0,490.16,0.0,490.16,2024,10,October,Monday,4
22,8,50,2024-11-02,2,168.2,0.15,336.4,0.5045999999999999,335.8954,2024,11,November,Saturday,4
23,1,56,2024-05-28,3,91.09,0.15,273.27,0.40990499999999996,272.860095,2024,5,May,Tuesday,2
24,2,125,2024-04-02,8,151.37,0.1,1210.96,1.21096,1209.7490400000002,2024,4,April,Tuesday,2
25,4,62,2024-04-07,2,11.77,0.1,23.54,0.023540000000000002,23.51646,2024,4,April,Sunday,2
26,1,13,2024-11-17,10,91.64,0.05,916.4,0.4582,915.9418,2024,11,November,Sunday,4
27,6,74,2024-10-15,8,77.0,0.0,616.0,0.0,616.0,2024,10,October,Tuesday,4
28,8,33,2024-12-10,9,162.49,0.05,1462.41,0.7312050000000001,1461.678795,2024,12,December,Tuesday,4
29,8,132,2024-12-20,12,133.08,0.15,1596.96,2.39544,1594.56456,2024,12,December,Friday,4
30,1,122,2024-01-16,3,28.93,0.25,86.78999999999999,0.21697499999999997,86.57302499999999,2024,1,January,Tuesday,1
31,9,29,2024-12-04,7,128.85,0.0,901.9499999999999,0.0,901.9499999999999,2024,12,December,Wednesday,4
32,9,28,2024-11-24,7,143.98,0.05,1007.8599999999999,0.50393,1007.3560699999999,2024,11,November,Sunday,4
33,8,151,2024-09-01,2,22.4,0.0,44.8,0.0,44.8,2024,9,September,Sunday,3
34,8,121,2024-12-10,3,164.69,0.25,494.07,1.235175,492.83482499999997,2024,12,December,Tuesday,4
35,7,123,2024-07-26,1,108.4,0.1,108.4,0.10840000000000001,108.2916,2024,7,July,Friday,3
36,6,149,2024-05-11,4,212.9,0.0,851.6,0.0,851.6,2024,5,May,Saturday,2
37,5,124,2024-03-29,4,19.68,0.25,78.72,0.1968,78.5232,2024,3,March,Friday,1
38,7,129,2024-10-30,11,151.03,0.0,1661.33,0.0,1661.33,2024,10,October,Wednesday,4
39,4,80,2024-10-24,6,210.02,0.1,1260.1200000000001,1.2601200000000001,1258.8598800000002,2024,10,October,Thursday,4
40,1,97,2024-05-25,7,51.84,0.15,362.88,0.5443199999999999,362.33567999999997,2024,5,May,Saturday,2
41,3,57,2024-06-28,1,75.29,0.0,75.29,0.0,75.29,2024,6,June,Friday,2
42,1,38,2024-05-02,5,27.57,0.0,137.85,0.0,137.85,2024,5,May,Thursday,2
43,8,21,2024-10-19,4,89.09,0.0,356.36,0.0,356.36,2024,10,October,Saturday,4
44,3,96,2024-12-23,7,169.6,0.0,1187.2,0.0,1187.2,2024,12,December,Monday,4
45,2,148,2024-01-26,7,126.73,0.05,887.11,0.4435550000000001,886.6664450000001,2024,1,January,Friday,1
46,9,68,2024-02-09,7,17.26,0.05,120.82000000000001,0.060410000000000005,120.75959,2024,2,February,Friday,1
47,6,22,2024-09-04,10,28.7,0.1,287.0,0.28700000000000003,286.713,2024,9,September,Wednesday,3
48,3,92,2024-12-06,8,96.38,0.05,771.04,0.38552,770.6544799999999,2024,12,December,Friday,4
49,9,83,2024-01-02,4,48.4,0.15,193.6,0.2904,193.3096,2024,1,January,Tuesday,1
50,6,21,2024-02-24,10,89.09,0.05,890.9000000000001,0.44545000000000007,890.45455,2024,2,February,Saturday,1
51,2,96,2024-09-05,12,169.6,0.0,2035.1999999999998,0.0,2035.1999999999998,2024,9,September,Thursday,3
52,7,115,2024-12-26,11,212.31,0.15,2335.41,3.5031149999999998,2331.906885,2024,12,December,Thursday,4
53,9,23,2024-10-27,4,135.4,0.05,541.6,0.27080000000000004,541.3292,2024,10,October,Sunday,4
54,5,131,2024-06-18,1,141.63,0.0,141.63,0.0,141.63,2024,6,June,Tuesday,2
55,4,3,2024-05-15,5,91.88,0.15,459.4,0.6890999999999999,458.7109,2024,5,May,Wednesday,2
56,2,74,2024-03-16,9,77.0,0.1,693.0,0.693,692.307,2024,3,March,Saturday,1
57,6,50,2024-06-03,11,168.2,0.0,1850.1999999999998,0.0,1850.1999999999998,2024,6,June,Monday,2
58,5,120,2024-11-28,8,234.32,0.05,1874.56,0.9372800000000001,1873.6227199999998,2024,11,November,Thursday,4
59,5,144,2024-07-11,9,72.5,0.05,652.5,0.32625,652.17375,2024,7,July,Thursday,3
60,1,142,2024-12-03,1,36.7,0.05,36.7,0.01835,36.681650000000005,2024,12,December,Tuesday,4
61,6,118,2024-11-07,8,153.88,0.0,1231.04,0.0,1231.04,2024,11,November,Thursday,4
62,2,42,2024-09-24,7,169.87,0.25,1189.0900000000001,2.9727250000000005,1186.117275,2024,9,September,Tuesday,3
63,10,126,2024-07-17,10,28.64,0.25,286.4,0.716,285.68399999999997,2024,7,July,Wednesday,3
64,10,7,2024-03-31,6,12.29,0.0,73.74,0.0,73.74,2024,3,March,Sunday,1
65,3,107,2024-11-24,4,9.07,0.0,36.28,0.0,36.28,2024,11,November,Sunday,4
66,3,104,2024-06-21,12,246.47,0.0,2957.64,0.0,2957.64,2024,6,June,Friday,2
67,4,102,2024-09-06,6,25.17,0.15,151.02,0.22653,150.79347,2024,9,September,Friday,3
68,9,119,2024-11-21,8,38.1,0.0,304.8,0.0,304.8,2024,11,November,Thursday,4
69,3,158,2024-12-27,5,81.38,0.25,406.9,1.01725,405.88275,2024,12,December,Friday,4
70,1,24,2024-04-01,10,80.42,0.15,804.2,1.2063,802.9937,2024,4,April,Monday,2
71,1,41,2024-03-25,10,157.72,0.0,1577.2,0.0,1577.2,2024,3,March,Monday,1
72,3,1,2024-10-18,1,38.35,0.25,38.35,0.095875,38.254125,2024,10,October,Friday,4
73,6,17,2024-10-09,2,92.08,0.05,184.16,0.09208,184.06792,2024,10,October,Wednesday,4
74,10,80,2024-03-14,4,210.02,0.15,840.08,1.26012,838.81988,2024,3,March,Thursday,1
75,4,17,2024-03-16,10,92.08,0.1,920.8,0.9208,919.8792,2024,3,March,Saturday,1
76,5,168,2024-12-16,12,115.57,0.15,1386.84,2.08026,1384.75974,2024,12,December,Monday,4
77,10,3,2024-12-07,5,91.88,0.1,459.4,0.4594,458.94059999999996,2024,12,December,Saturday,4
78,2,128,2024-07-06,6,177.81,0.0,1066.8600000000001,0.0,1066.8600000000001,2024,7,July,Saturday,3
79,6,85,2024-08-02,9,88.45,0.15,796.0500000000001,1.194075,794.8559250000001,2024,8,August,Friday,3
80,4,107,2024-01-28,11,9.07,0.15,99.77000000000001,0.149655,99.62034500000001,2024,1,January,Sunday,1
81,8,39,2024-11-21,12,112.9,0.0,1354.8000000000002,0.0,1354.8000000000002,2024,11,November,Thursday,4
82,8,43,2024-03-13,10,88.26,0.25,882.6,2.2065,880.3935,2024,3,March,Wednesday,1
83,4,75,2024-11-28,5,29.49,0.05,147.45,0.073725,147.376275,2024,11,November,Thursday,4
84,4,133,2024-09-16,5,107.43,0.25,537.1500000000001,1.3428750000000003,535.807125,2024,9,September,Monday,3
85,4,24,2024-09-03,5,80.42,0.05,402.1,0.20105000000000003,401.89895,2024,9,September,Tuesday,3
86,1,167,2024-02-28,5,20.08,0.25,100.39999999999999,0.251,100.14899999999999,2024,2,February,Wednesday,1
87,6,49,2024-08-05,11,89.67,0.15,986.37,1.479555,984.890445,2024,8,August,Monday,3
88,3,125,2024-10-20,7,151.37,0.0,1059.5900000000001,0.0,1059.5900000000001,2024,10,October,Sunday,4
89,9,119,2024-04-26,1,38.1,0.0,38.1,0.0,38.1,2024,4,April,Friday,2
90,9,75,2024-07-11,6,29.49,0.15,176.94,0.26541,176.67459,2024,7,July,Thursday,3
91,9,106,2024-12-18,10,97.25,0.15,972.5,1.45875,971.04125,2024,12,December,Wednesday,4
92,4,131,2024-09-23,9,141.63,0.0,1274.67,0.0,1274.67,2024,9,September,Monday,3
93,4,64,2024-08-20,4,54.54,0.15,218.16,0.32724,217.83276,2024,8,August,Tuesday,3
94,10,149,2024-07-02,9,212.9,0.0,1916.1000000000001,0.0,1916.1000000000001,2024,7,July,Tuesday,3
95,7,157,2024-06-24,12,147.67,0.1,1772.04,1.77204,1770.26796,2024,6,June,Monday,2
96,3,116,2024-09-07,4,182.63,0.0,730.52,0.0,730.52,2024,9,September,Saturday,3
97,3,126,2024-09-03,12,28.64,0.0,343.68,0.0,343.68,2024,9,September,Tuesday,3
98,9,161,2024-09-09,1,203.07,0.0,203.07,0.0,203.07,2024,9,September,Monday,3
99,10,130,2024-06-12,12,200.9,0.0,2410.8,0.0,2410.8,2024,6,June,Wednesday,2
100,4,76,2024-05-12,5,150.97,0.0,754.85,0.0,754.85,2024,5,May,Sunday,2
101,6,158,2024-07-21,9,81.38,0.15,732.42,1.0986299999999998,731.32137,2024,7,July,Sunday,3
102,9,153,2024-07-10,5,149.65,0.0,748.25,0.0,748.25,2024,7,July,Wednesday,3
103,4,26,2024-10-11,4,163.65,0.0,654.6,0.0,654.6,2024,10,October,Friday,4
104,5,134,2024-05-29,12,141.92,0.0,1703.04,0.0,1703.04,2024,5,May,Wednesday,2
105,9,62,2024-12-24,5,11.77,0.0,58.849999999999994,0.0,58.849999999999994,2024,12,December,Tuesday,4
106,2,131,2024-08-21,3,141.63,0.0,424.89,0.0,424.89,2024,8,August,Wednesday,3
107,6,12,2024-06-04,10,105.87,0.15,1058.7,1.58805,1057.11195,2024,6,June,Tuesday,2
108,6,22,2024-11-24,2,28.7,0.1,57.4,0.0574,57.3426,2024,11,November,Sunday,4
109,9,104,2024-05-16,9,246.47,0.0,2218.23,0.0,2218.23,2024,5,May,Thursday,2
