transaction_id,store_id,product_id,transaction_date,quantity_sold,unit_price,discount_pct
1,3,138,2024-12-23,11,98.66,0.05
2,2,117,2024-07-05,10,144.39,0.15
3,1,14,2024-06-26,6,13.97,0.15
4,3,156,2024-11-14,3,173.78,0.05
5,8,43,2024-09-16,7,88.26,0.1
6,6,130,2024-02-02,1,200.9,0.1
7,8,139,2024-01-02,4,81.1,0.0
8,5,111,2024-08-20,2,43.1,0.0
9,10,141,2024-12-22,7,45.08,0.05
10,2,68,2024-03-31,8,17.26,0.25
11,9,58,2024-02-03,6,216.14,0.25
12,1,22,2024-05-07,1,28.7,0.1
13,4,39,2024-09-13,8,112.9,0.0
14,9,15,2024-11-01,10,149.2,0.1
15,8,31,2024-10-25,2,110.33,0.0
16,2,134,2024-04-22,7,141.92,0.1
17,8,158,2024-09-29,5,81.38,0.0
18,1,34,2024-10-01,7,99.91,0.25
19,4,88,26/08/2024,10,106.78,0.25
20,8,32,2024-01-26,7,195.25,0.1
21,1,19,2024-10-28,8,61.27,0.0
22,8,50,2024-11-02,2,168.2,0.15
23,1,56,2024-05-28,3,91.09,0.15
24,2,125,2024-04-02,8,151.37,0.1
25,4,62,2024-04-07,2,11.77,0.1
26,1,13,2024-11-17,10,91.64,0.05
27,6,74,2024-10-15,8,77.0,0.0
28,8,33,2024-12-10,9,162.49,0.05
29,8,132,2024-12-20,12,133.08,0.15
30,1,122,2024-01-16,3,28.93,0.25
31,9,29,2024-12-04,7,128.85,0.0
32,9,28,2024-11-24,7,143.98,0.05
33,8,151,2024-09-01,2,22.4,0.0
34,8,121,2024-12-10,3,164.69,0.25
35,7,123,2024-07-26,1,108.4,0.1
36,6,149,2024-05-11,4,212.9,0.0
37,5,124,2024-03-29,4,,0.25
38,7,129,2024-10-30,11,151.03,0.0
39,4,80,2024-10-24,6,210.02,0.1
40,1,97,2024-05-25,7,51.84,0.15
41,3,57,2024-06-28,1,75.29,0.0
42,1,38,2024-05-02,5,27.57,0.0
43,8,21,2024-10-19,4,89.09,0.0
44,3,96,2024-12-23,7,169.6,0.0
45,2,148,2024-01-26,7,126.73,0.05
46,9,68,2024-02-09,7,17.26,0.05
47,6,22,2024-09-04,10,28.7,0.1
48,3,92,2024-12-06,8,96.38,0.05
49,9,83,2024-01-02,4,48.4,0.15
50,6,21,2024-02-24,10,89.09,0.05
51,2,96,2024-09-05,12,169.6,0.0
52,7,115,2024-12-26,11,212.31,0.15
53,9,23,2024-10-27,4,135.4,0.05
54,5,131,2024-06-18,1,141.63,0.0
55,4,3,2024-05-15,5,91.88,0.15
56,2,74,2024-03-16,9,77.0,0.1
57,6,50,2024-06-03,11,168.2,0.0
58,5,120,2024-11-28,8,234.32,0.05
59,5,144,2024-07-11,9,72.5,0.05
60,1,142,2024-12-03,1,36.7,0.05
61,6,118,2024-11-07,8,153.88,0.0
62,2,42,2024-09-24,-7,169.87,0.25
63,10,126,2024-07-17,10,28.64,0.25
64,10,7,2024-03-31,6,12.29,0.0
65,3,107,2024-11-24,4,9.07,0.0
66,3,104,2024-06-21,12,246.47,0.0
67,4,102,2024-09-06,6,25.17,0.15
68,9,119,2024-11-21,8,38.1,0.0
69,3,158,2024-12-27,5,81.38,0.25
70,1,24,2024-04-01,10,80.42,0.15
71,1,41,2024-03-25,10,157.72,0.0
72,3,1,2024-10-18,1,38.35,0.25
73,6,17,2024-10-09,2,92.08,0.05
74,10,80,2024-03-14,4,210.02,0.15
75,4,17,2024-03-16,10,92.08,0.1
76,5,168,2024-12-16,12,115.57,0.15
77,10,3,2024-12-07,5,91.88,0.1
78,2,128,2024-07-06,6,177.81,0.0
79,6,85,2024-08-02,9,88.45,0.15
80,4,107,2024-01-28,11,9.07,0.15
81,8,39,2024-11-21,12,112.9,0.0
82,8,43,2024-03-13,10,88.26,0.25
83,4,75,2024-11-28,5,29.49,0.05
84,4,133,2024-09-16,5,107.43,0.25
85,4,24,2024-09-03,5,80.42,0.05
86,1,167,2024-02-28,5,20.08,0.25
87,6,49,2024-08-05,11,89.67,0.15
88,3,125,2024-10-20,7,151.37,0.0
89,9,119,2024-04-26,1,38.1,0.0
90,9,75,2024-07-11,6,29.49,0.15
91,9,106,2024-12-18,10,97.25,0.15
92,4,131,2024-09-23,9,141.63,0.0
